subject_id,readme_bug_id,section,buggy_path,fixed_path,category,runnable,adapter,relation_scope,exclusion_reason
qiskit_github_1,1,qiskit_github,Terra-0-4000/3/buggy.py,Terra-0-4000/3/Fixed.py,parameter,true,qiskit_script,circuit,
qiskit_github_2,2,qiskit_github,Terra-0-4000/6/buggy.py,Terra-0-4000/6/Fixed.py,"qr,qc",true,qiskit_script,circuit,
qiskit_github_3,3,qiskit_github,Terra-0-4000/7/buggy.py,Terra-0-4000/7/Fix.py,! U,true,qiskit_script,circuit,
qiskit_github_4,4,qiskit_github,Terra-0-4000/8/buggy.py,Terra-0-4000/8/fixed.py,empty circuit,true,qiskit_script,circuit,
qiskit_github_5,5,qiskit_github,Terra-0-4000/11/buggy.py,Terra-0-4000/11/fix.py,qasm,false,qiskit_script,circuit,EXEC_ERROR:QiskitBackendNotFoundError:'No backend matches the criteria'
qiskit_github_6,6,qiskit_github,Terra-0-4000/13/buggy.py,Terra-0-4000/13/fix.py,lack,true,qiskit_script,circuit,
qiskit_github_7,7,qiskit_github,Terra-0-4000/22/buggy.py,Terra-0-4000/22/fix.py,output wrong,true,qiskit_script,circuit,
qiskit_github_8,8,qiskit_github,Terra-4001-6000/Bug_5/buggy.py,Terra-4001-6000/Bug_5/fixed.py,Wrong circuit design,true,qiskit_script,circuit,
qiskit_github_9,9,qiskit_github,Terra-4001-6000/Bug_8/buggy.py,Terra-4001-6000/Bug_8/fixed.py,Wrong command,false,qiskit_script,circuit,EXEC_ERROR:AttributeError:Attribute drive is not defined
qiskit_github_10,10,qiskit_github,Terra-4001-6000/Bug_11/buggy.py,Terra-4001-6000/Bug_11/fixed.py,Wrong command,true,qiskit_script,circuit,
qiskit_github_11,11,qiskit_github,Terra-6000-7100/6892_Bug/bug_version.py,Terra-6000-7100/6892_Fixed/fixed_version.py,`QuantumCircuit.parameters` only tracks unbound parameters.,true,qiskit_script,circuit,
qiskit_github_12,12,qiskit_github,Terra-6000-7100/6571_Bug/bug_version.py,Terra-6000-7100/6571_Fixed/fixed_version.py,Being not familiar with the usage of measuring all bit using existing registers.,true,qiskit_script,circuit,
qiskit_github_13,13,qiskit_github,Terra-6000-7100/6540_Bug/bug_version.py,Terra-6000-7100/6540_Fixed/fixed_version.py,Qiskit distinguishes operations in `Gate`s,true,qiskit_script,circuit,
qiskit_github_14,14,qiskit_github,Terra-6000-7100/6255_Bug/bug_version.py,Terra-6000-7100/6255_Fixed/fixed_version.py,Not fully understanding QASM and statevector/eval computation.,false,qiskit_script,circuit,IMPORT:deprecated_package_qiskit.opflow
