mutant_id,source_id,relation_family,operator,site,seed,fixed_subject,mutant_subject,effect_tvd,expected_detected,source_path,fixed_path
pm_perm_00,program_perm_parity,program_input_permutation,builder_ignores_qubit_order,"perm=[1, 3, 0, 2]",20240519,"{""kind"": ""input_permutation"", ""kwargs"": {""bits"": [1, 0, 0, 0], ""buggy"": false, ""case_id"": ""00"", ""perm"": [1, 3, 0, 2]}}","{""kind"": ""input_permutation"", ""kwargs"": {""bits"": [1, 0, 0, 0], ""buggy"": true, ""case_id"": ""00"", ""perm"": [1, 3, 0, 2]}}",1.00000000,true,,
pm_perm_01,program_perm_parity,program_input_permutation,builder_ignores_qubit_order,"perm=[2, 0, 3, 1]",20240520,"{""kind"": ""input_permutation"", ""kwargs"": {""bits"": [1, 0, 0, 0], ""buggy"": false, ""case_id"": ""01"", ""perm"": [2, 0, 3, 1]}}","{""kind"": ""input_permutation"", ""kwargs"": {""bits"": [1, 0, 0, 0], ""buggy"": true, ""case_id"": ""01"", ""perm"": [2, 0, 3, 1]}}",1.00000000,true,,
pm_perm_02,program_perm_parity,program_input_permutation,builder_ignores_qubit_order,"perm=[3, 2, 1, 0]",20240521,"{""kind"": ""input_permutation"", ""kwargs"": {""bits"": [1, 0, 0, 0], ""buggy"": false, ""case_id"": ""02"", ""perm"": [3, 2, 1, 0]}}","{""kind"": ""input_permutation"", ""kwargs"": {""bits"": [1, 0, 0, 0], ""buggy"": true, ""case_id"": ""02"", ""perm"": [3, 2, 1, 0]}}",1.00000000,true,,
pm_perm_03,program_perm_parity,program_input_permutation,builder_ignores_qubit_order,"perm=[1, 0, 3, 2]",20240522,"{""kind"": ""input_permutation"", ""kwargs"": {""bits"": [1, 0, 0, 0], ""buggy"": false, ""case_id"": ""03"", ""perm"": [1, 0, 3, 2]}}","{""kind"": ""input_permutation"", ""kwargs"": {""bits"": [1, 0, 0, 0], ""buggy"": true, ""case_id"": ""03"", ""perm"": [1, 0, 3, 2]}}",1.00000000,true,,
pm_perm_04,program_perm_parity,program_input_permutation,builder_ignores_qubit_order,"perm=[1, 3, 0, 2]",20240523,"{""kind"": ""input_permutation"", ""kwargs"": {""bits"": [1, 0, 0, 0], ""buggy"": false, ""case_id"": ""04"", ""perm"": [1, 3, 0, 2]}}","{""kind"": ""input_permutation"", ""kwargs"": {""bits"": [1, 0, 0, 0], ""buggy"": true, ""case_id"": ""04"", ""perm"": [1, 3, 0, 2]}}",1.00000000,true,,
pm_perm_05,program_perm_parity,program_input_permutation,builder_ignores_qubit_order,"perm=[2, 0, 3, 1]",20240524,"{""kind"": ""input_permutation"", ""kwargs"": {""bits"": [1, 0, 0, 0], ""buggy"": false, ""case_id"": ""05"", ""perm"": [2, 0, 3, 1]}}","{""kind"": ""input_permutation"", ""kwargs"": {""bits"": [1, 0, 0, 0], ""buggy"": true, ""case_id"": ""05"", ""perm"": [2, 0, 3, 1]}}",1.00000000,true,,
pm_perm_06,program_perm_parity,program_input_permutation,builder_ignores_qubit_order,"perm=[3, 2, 1, 0]",20240525,"{""kind"": ""input_permutation"", ""kwargs"": {""bits"": [1, 0, 0, 0], ""buggy"": false, ""case_id"": ""06"", ""perm"": [3, 2, 1, 0]}}","{""kind"": ""input_permutation"", ""kwargs"": {""bits"": [1, 0, 0, 0], ""buggy"": true, ""case_id"": ""06"", ""perm"": [3, 2, 1, 0]}}",1.00000000,true,,
pm_perm_07,program_perm_parity,program_input_permutation,builder_ignores_qubit_order,"perm=[1, 0, 3, 2]",20240526,"{""kind"": ""input_permutation"", ""kwargs"": {""bits"": [1, 0, 0, 0], ""buggy"": false, ""case_id"": ""07"", ""perm"": [1, 0, 3, 2]}}","{""kind"": ""input_permutation"", ""kwargs"": {""bits"": [1, 0, 0, 0], ""buggy"": true, ""case_id"": ""07"", ""perm"": [1, 0, 3, 2]}}",1.00000000,true,,
pm_perm_08,program_perm_parity,program_input_permutation,builder_ignores_qubit_order,"perm=[1, 3, 0, 2]",20240527,"{""kind"": ""input_permutation"", ""kwargs"": {""bits"": [1, 0, 0, 0], ""buggy"": false, ""case_id"": ""08"", ""perm"": [1, 3, 0, 2]}}","{""kind"": ""input_permutation"", ""kwargs"": {""bits"": [1, 0, 0, 0], ""buggy"": true, ""case_id"": ""08"", ""perm"": [1, 3, 0, 2]}}",1.00000000,true,,
pm_perm_09,program_perm_parity,program_input_permutation,builder_ignores_qubit_order,"perm=[2, 0, 3, 1]",20240528,"{""kind"": ""input_permutation"", ""kwargs"": {""bits"": [1, 0, 0, 0], ""buggy"": false, ""case_id"": ""09"", ""perm"": [2, 0, 3, 1]}}","{""kind"": ""input_permutation"", ""kwargs"": {""bits"": [1, 0, 0, 0], ""buggy"": true, ""case_id"": ""09"", ""perm"": [2, 0, 3, 1]}}",1.00000000,true,,
