axis,theta,drift,tvd,detected
ry,0.35,0.001,0.000183,0
ry,0.35,0.003,0.000488,0
ry,0.35,0.005,0.00061,0
ry,0.35,0.007,0.001434,0
ry,0.35,0.009,0.001434,0
ry,0.35,0.012,0.002075,0
ry,0.35,0.016,0.002167,0
ry,0.35,0.02,0.003723,0
ry,0.35,0.025,0.004547,0
ry,0.35,0.03,0.006012,0
ry,0.35,0.035,0.005829,0
ry,0.35,0.04,0.006805,1
ry,0.35,0.045,0.008484,0
ry,0.35,0.05,0.009094,1
ry,0.35,0.06,0.0112,1
ry,0.35,0.07,0.013031,1
ry,0.35,0.085,0.015472,1
ry,0.7,0.001,0.000397,0
ry,0.7,0.003,0.001099,0
ry,0.7,0.005,0.001434,0
ry,0.7,0.007,0.002625,0
ry,0.7,0.009,0.002625,0
ry,0.7,0.012,0.003296,0
ry,0.7,0.016,0.00531,0
ry,0.7,0.02,0.005707,0
ry,0.7,0.025,0.00769,0
ry,0.7,0.03,0.01004,0
ry,0.7,0.035,0.012909,0
ry,0.7,0.04,0.014221,0
ry,0.7,0.045,0.013885,0
ry,0.7,0.05,0.016785,1
ry,0.7,0.06,0.019257,1
ry,0.7,0.07,0.0242,1
ry,0.7,0.085,0.028473,1
ry,1.05,0.001,0.000427,0
ry,1.05,0.003,0.001129,0
ry,1.05,0.005,0.002625,0
ry,1.05,0.007,0.002625,0
ry,1.05,0.009,0.003754,0
ry,1.05,0.012,0.005127,0
ry,1.05,0.016,0.00708,0
ry,1.05,0.02,0.007874,0
ry,1.05,0.025,0.011444,0
ry,1.05,0.03,0.012817,0
ry,1.05,0.035,0.013824,0
ry,1.05,0.04,0.017578,0
ry,1.05,0.045,0.019531,0
ry,1.05,0.05,0.021637,1
ry,1.05,0.06,0.025513,1
ry,1.05,0.07,0.031219,1
ry,1.05,0.085,0.036163,1
ry,1.4,0.001,0.000397,0
ry,1.4,0.003,0.00119,0
ry,1.4,0.005,0.002136,0
ry,1.4,0.007,0.003052,0
ry,1.4,0.009,0.0047,0
ry,1.4,0.012,0.006683,0
ry,1.4,0.016,0.007935,0
ry,1.4,0.02,0.00943,0
ry,1.4,0.025,0.011444,0
ry,1.4,0.03,0.013763,0
ry,1.4,0.035,0.017181,0
ry,1.4,0.04,0.019531,1
ry,1.4,0.045,0.021637,0
ry,1.4,0.05,0.02475,0
ry,1.4,0.06,0.02948,1
ry,1.4,0.07,0.035126,1
ry,1.4,0.085,0.041962,1
