axis,theta,drift,tvd,detected
ry,0.35,0.01,0.001831,0
ry,0.35,0.02,0.003326,0
ry,0.35,0.03,0.005188,0
ry,0.35,0.05,0.01059,1
ry,0.35,0.07,0.013489,1
ry,0.35,0.1,0.019043,1
ry,0.35,0.14,0.029083,1
ry,0.35,0.19,0.041534,1
ry,0.35,0.26,0.057434,1
ry,0.35,0.35,0.087341,1
ry,0.35,0.5,0.13916,1
ry,0.35,0.7,0.220184,1
ry,0.7,0.01,0.00296,0
ry,0.7,0.02,0.006287,0
ry,0.7,0.03,0.009674,0
ry,0.7,0.05,0.01593,1
ry,0.7,0.07,0.022888,1
ry,0.7,0.1,0.033417,1
ry,0.7,0.14,0.048401,1
ry,0.7,0.19,0.066376,1
ry,0.7,0.26,0.097534,1
ry,0.7,0.35,0.136078,1
ry,0.7,0.5,0.19751,1
ry,0.7,0.7,0.298737,1
ry,1.05,0.01,0.004181,0
ry,1.05,0.02,0.008575,0
ry,1.05,0.03,0.012329,0
ry,1.05,0.05,0.020477,1
ry,1.05,0.07,0.031921,1
ry,1.05,0.1,0.041718,1
ry,1.05,0.14,0.062897,1
ry,1.05,0.19,0.086761,1
ry,1.05,0.26,0.121643,1
ry,1.05,0.35,0.163208,1
ry,1.05,0.5,0.239532,1
ry,1.05,0.7,0.336639,1
ry,1.4,0.01,0.005096,0
ry,1.4,0.02,0.009186,0
ry,1.4,0.03,0.015137,0
ry,1.4,0.05,0.024963,1
ry,1.4,0.07,0.035645,1
ry,1.4,0.1,0.049347,1
ry,1.4,0.14,0.069244,1
ry,1.4,0.19,0.093567,1
ry,1.4,0.26,0.131226,1
ry,1.4,0.35,0.174896,1
ry,1.4,0.5,0.24881,1
ry,1.4,0.7,0.33963,1
ry,1.75,0.01,0.004944,0
ry,1.75,0.02,0.009216,0
ry,1.75,0.03,0.013824,0
ry,1.75,0.05,0.025085,1
ry,1.75,0.07,0.033112,1
ry,1.75,0.1,0.049072,1
ry,1.75,0.14,0.069244,1
ry,1.75,0.19,0.091431,1
ry,1.75,0.26,0.125336,1
ry,1.75,0.35,0.163513,1
ry,1.75,0.5,0.227692,1
ry,1.75,0.7,0.297607,1
ry,2.1,0.01,0.004486,0
ry,2.1,0.02,0.008026,0
ry,2.1,0.03,0.012421,0
ry,2.1,0.05,0.020844,1
ry,2.1,0.07,0.029388,1
ry,2.1,0.1,0.039612,1
ry,2.1,0.14,0.058228,1
ry,2.1,0.19,0.076172,1
ry,2.1,0.26,0.097168,1
ry,2.1,0.35,0.134247,1
ry,2.1,0.5,0.179871,1
ry,2.1,0.7,0.216583,1
rx,0.35,0.01,0.002136,0
rx,0.35,0.02,0.002991,0
rx,0.35,0.03,0.004578,0
rx,0.35,0.05,0.009705,1
rx,0.35,0.07,0.013519,1
rx,0.35,0.1,0.017914,1
rx,0.35,0.14,0.028503,1
rx,0.35,0.19,0.040375,1
rx,0.35,0.26,0.060272,1
rx,0.35,0.35,0.086639,1
rx,0.35,0.5,0.138641,1
rx,0.35,0.7,0.223297,1
rx,0.7,0.01,0.002991,0
rx,0.7,0.02,0.006195,0
rx,0.7,0.03,0.010437,0
rx,0.7,0.05,0.016022,1
rx,0.7,0.07,0.024231,1
rx,0.7,0.1,0.032104,1
rx,0.7,0.14,0.048767,1
rx,0.7,0.19,0.067383,1
rx,0.7,0.26,0.09729,1
rx,0.7,0.35,0.128876,1
rx,0.7,0.5,0.203003,1
rx,0.7,0.7,0.292786,1
rx,1.05,0.01,0.00412,0
rx,1.05,0.02,0.008209,0
rx,1.05,0.03,0.012726,0
rx,1.05,0.05,0.022461,1
rx,1.05,0.07,0.032013,1
rx,1.05,0.1,0.04425,1
rx,1.05,0.14,0.061371,1
rx,1.05,0.19,0.083496,1
rx,1.05,0.26,0.115692,1
rx,1.05,0.35,0.164825,1
rx,1.05,0.5,0.236389,1
rx,1.05,0.7,0.338409,1
rx,1.4,0.01,0.004395,0
rx,1.4,0.02,0.010101,0
rx,1.4,0.03,0.015106,0
rx,1.4,0.05,0.024261,1
rx,1.4,0.07,0.033325,1
rx,1.4,0.1,0.04953,1
rx,1.4,0.14,0.068726,1
rx,1.4,0.19,0.094025,1
rx,1.4,0.26,0.128204,1
rx,1.4,0.35,0.169983,1
rx,1.4,0.5,0.248322,1
rx,1.4,0.7,0.338196,1
rx,1.75,0.01,0.004761,0
rx,1.75,0.02,0.008362,0
rx,1.75,0.03,0.013184,0
rx,1.75,0.05,0.025574,1
rx,1.75,0.07,0.035065,1
rx,1.75,0.1,0.047485,1
rx,1.75,0.14,0.069916,1
rx,1.75,0.19,0.094025,1
rx,1.75,0.26,0.123596,1
rx,1.75,0.35,0.165009,1
rx,1.75,0.5,0.226074,1
rx,1.75,0.7,0.299438,1
rx,2.1,0.01,0.003937,0
rx,2.1,0.02,0.008911,0
rx,2.1,0.03,0.012665,0
rx,2.1,0.05,0.021301,1
rx,2.1,0.07,0.030121,1
rx,2.1,0.1,0.04129,1
rx,2.1,0.14,0.058075,1
rx,2.1,0.19,0.080017,1
rx,2.1,0.26,0.099884,1
rx,2.1,0.35,0.134735,1
rx,2.1,0.5,0.178467,1
rx,2.1,0.7,0.219604,1
