program,n_rotations,delta,tvd,detected
ae_10,36,0.0,0.0,0
ae_10,36,0.01,0.015381,0
ae_10,36,0.02,0.023163,0
ae_10,36,0.03,0.033173,0
ae_10,36,0.05,0.054382,1
ae_10,36,0.07,0.080811,1
ae_10,36,0.1,0.136536,1
ae_10,36,0.15,0.252838,1
ae_10,36,0.2,0.386017,1
ae_10,36,0.3,0.645935,1
ae_10,36,0.5,0.919922,1
ae_12,55,0.0,0.0,0
ae_12,55,0.01,0.01123,0
ae_12,55,0.02,0.022186,0
ae_12,55,0.03,0.034576,1
ae_12,55,0.05,0.073273,1
ae_12,55,0.07,0.127655,1
ae_12,55,0.1,0.231628,1
ae_12,55,0.15,0.433105,1
ae_12,55,0.2,0.631561,1
ae_12,55,0.3,0.88559,1
ae_12,55,0.5,0.990479,1
ae_14,78,0.0,0.0,0
ae_14,78,0.01,0.004974,1
ae_14,78,0.02,0.019287,1
ae_14,78,0.03,0.043427,1
ae_14,78,0.05,0.120148,1
ae_14,78,0.07,0.223297,1
ae_14,78,0.1,0.406891,1
ae_14,78,0.15,0.695648,1
ae_14,78,0.2,0.883148,1
ae_14,78,0.3,0.994537,1
ae_14,78,0.5,0.999969,1
ae_3,1,0.0,0.0,0
ae_3,1,0.01,0.00238,0
ae_3,1,0.02,0.005035,0
ae_3,1,0.03,0.007721,0
ae_3,1,0.05,0.013153,0
ae_3,1,0.07,0.01889,0
ae_3,1,0.1,0.028076,0
ae_3,1,0.15,0.040771,0
ae_3,1,0.2,0.05423,1
ae_3,1,0.3,0.07959,1
ae_3,1,0.5,0.128723,1
ae_4,3,0.0,0.0,0
ae_4,3,0.01,0.001862,0
ae_4,3,0.02,0.003265,0
ae_4,3,0.03,0.0047,0
ae_4,3,0.05,0.007507,0
ae_4,3,0.07,0.011139,0
ae_4,3,0.1,0.016083,0
ae_4,3,0.15,0.024811,0
ae_4,3,0.2,0.036896,1
ae_4,3,0.3,0.066132,1
ae_4,3,0.5,0.179138,1
ae_5,6,0.0,0.0,0
ae_5,6,0.01,0.004517,0
ae_5,6,0.02,0.008179,0
ae_5,6,0.03,0.0112,0
ae_5,6,0.05,0.019135,0
ae_5,6,0.07,0.026031,0
ae_5,6,0.1,0.037292,0
ae_5,6,0.15,0.056061,1
ae_5,6,0.2,0.073212,1
ae_5,6,0.3,0.105011,1
ae_5,6,0.5,0.2052,1
ae_6,10,0.0,0.0,0
ae_6,10,0.01,0.00473,0
ae_6,10,0.02,0.00824,0
ae_6,10,0.03,0.012543,0
ae_6,10,0.05,0.022217,0
ae_6,10,0.07,0.033478,0
ae_6,10,0.1,0.050354,0
ae_6,10,0.15,0.082886,1
ae_6,10,0.2,0.120789,1
ae_6,10,0.3,0.231628,1
ae_6,10,0.5,0.479584,1
ae_8,21,0.0,0.0,0
ae_8,21,0.01,0.003815,0
ae_8,21,0.02,0.006927,0
ae_8,21,0.03,0.011414,0
ae_8,21,0.05,0.025116,1
ae_8,21,0.07,0.045532,1
ae_8,21,0.1,0.086304,1
ae_8,21,0.15,0.179352,1
ae_8,21,0.2,0.292328,1
ae_8,21,0.3,0.543701,1
ae_8,21,0.5,0.890839,1
bmw_quark_cardinality_10,97,0.0,0.0,0
bmw_quark_cardinality_10,97,0.01,0.076752,0
bmw_quark_cardinality_10,97,0.02,0.088226,1
bmw_quark_cardinality_10,97,0.03,0.102814,1
bmw_quark_cardinality_10,97,0.05,0.142975,1
bmw_quark_cardinality_10,97,0.07,0.180023,1
bmw_quark_cardinality_10,97,0.1,0.251495,1
bmw_quark_cardinality_10,97,0.15,0.352997,1
bmw_quark_cardinality_10,97,0.2,0.444489,1
bmw_quark_cardinality_10,97,0.3,0.587158,1
bmw_quark_cardinality_10,97,0.5,0.651672,1
bmw_quark_cardinality_12,117,0.0,0.0,0
bmw_quark_cardinality_12,117,0.01,0.141449,1
bmw_quark_cardinality_12,117,0.02,0.154541,1
bmw_quark_cardinality_12,117,0.03,0.17041,1
bmw_quark_cardinality_12,117,0.05,0.200562,1
bmw_quark_cardinality_12,117,0.07,0.238434,1
bmw_quark_cardinality_12,117,0.1,0.306427,1
bmw_quark_cardinality_12,117,0.15,0.420197,1
bmw_quark_cardinality_12,117,0.2,0.523376,1
bmw_quark_cardinality_12,117,0.3,0.681671,1
bmw_quark_cardinality_12,117,0.5,0.788696,1
bmw_quark_cardinality_14,137,0.0,0.0,0
bmw_quark_cardinality_14,137,0.01,0.234192,1
bmw_quark_cardinality_14,137,0.02,0.245453,1
bmw_quark_cardinality_14,137,0.03,0.258026,1
bmw_quark_cardinality_14,137,0.05,0.286438,1
bmw_quark_cardinality_14,137,0.07,0.322235,1
bmw_quark_cardinality_14,137,0.1,0.385529,1
bmw_quark_cardinality_14,137,0.15,0.491058,1
bmw_quark_cardinality_14,137,0.2,0.596954,1
bmw_quark_cardinality_14,137,0.3,0.74408,1
bmw_quark_cardinality_14,137,0.5,0.860504,1
bmw_quark_cardinality_2,17,0.0,0.0,0
bmw_quark_cardinality_2,17,0.01,0.004486,0
bmw_quark_cardinality_2,17,0.02,0.008911,0
bmw_quark_cardinality_2,17,0.03,0.013245,0
bmw_quark_cardinality_2,17,0.05,0.021545,0
bmw_quark_cardinality_2,17,0.07,0.030426,0
bmw_quark_cardinality_2,17,0.1,0.042084,1
bmw_quark_cardinality_2,17,0.15,0.063141,1
bmw_quark_cardinality_2,17,0.2,0.08493,1
bmw_quark_cardinality_2,17,0.3,0.115601,1
bmw_quark_cardinality_2,17,0.5,0.111511,1
bmw_quark_cardinality_3,27,0.0,0.0,0
bmw_quark_cardinality_3,27,0.01,0.007477,0
bmw_quark_cardinality_3,27,0.02,0.015778,0
bmw_quark_cardinality_3,27,0.03,0.024963,0
bmw_quark_cardinality_3,27,0.05,0.044586,1
bmw_quark_cardinality_3,27,0.07,0.066467,1
bmw_quark_cardinality_3,27,0.1,0.102234,1
bmw_quark_cardinality_3,27,0.15,0.168427,1
bmw_quark_cardinality_3,27,0.2,0.231415,1
bmw_quark_cardinality_3,27,0.3,0.343384,1
bmw_quark_cardinality_3,27,0.5,0.435791,1
bmw_quark_cardinality_4,37,0.0,0.0,0
bmw_quark_cardinality_4,37,0.01,0.015045,0
bmw_quark_cardinality_4,37,0.02,0.029144,0
bmw_quark_cardinality_4,37,0.03,0.042053,0
bmw_quark_cardinality_4,37,0.05,0.07251,1
bmw_quark_cardinality_4,37,0.07,0.098846,1
bmw_quark_cardinality_4,37,0.1,0.138489,1
bmw_quark_cardinality_4,37,0.15,0.204224,1
bmw_quark_cardinality_4,37,0.2,0.274261,1
bmw_quark_cardinality_4,37,0.3,0.371857,1
bmw_quark_cardinality_4,37,0.5,0.535645,1
bmw_quark_cardinality_5,47,0.0,0.0,0
bmw_quark_cardinality_5,47,0.01,0.018127,0
bmw_quark_cardinality_5,47,0.02,0.032837,0
bmw_quark_cardinality_5,47,0.03,0.046143,0
bmw_quark_cardinality_5,47,0.05,0.075531,1
bmw_quark_cardinality_5,47,0.07,0.099426,1
bmw_quark_cardinality_5,47,0.1,0.134186,1
bmw_quark_cardinality_5,47,0.15,0.184448,1
bmw_quark_cardinality_5,47,0.2,0.228668,1
bmw_quark_cardinality_5,47,0.3,0.294159,1
bmw_quark_cardinality_5,47,0.5,0.352936,1
bmw_quark_cardinality_6,57,0.0,0.0,0
bmw_quark_cardinality_6,57,0.01,0.016174,0
bmw_quark_cardinality_6,57,0.02,0.027893,0
bmw_quark_cardinality_6,57,0.03,0.042023,0
bmw_quark_cardinality_6,57,0.05,0.065094,0
bmw_quark_cardinality_6,57,0.07,0.094055,1
bmw_quark_cardinality_6,57,0.1,0.137329,1
bmw_quark_cardinality_6,57,0.15,0.20694,1
bmw_quark_cardinality_6,57,0.2,0.278503,1
bmw_quark_cardinality_6,57,0.3,0.382965,1
bmw_quark_cardinality_6,57,0.5,0.570648,1
bmw_quark_cardinality_8,77,0.0,0.0,0
bmw_quark_cardinality_8,77,0.01,0.034637,0
bmw_quark_cardinality_8,77,0.02,0.052216,0
bmw_quark_cardinality_8,77,0.03,0.071503,0
